labels,credentials,p_type,no_serv,no_bene,no_dis_bene,ave_Me_pay,ave_Sub,place of service,gender,drug 
3,MD,Internal Medicine,18,18,18,81.63,150,F,F,N
3,PA,Physician Assistant,55,32,32,39.676909091,814.54545455,F,F,N
2,PA,Physician Assistant,63,59,63,35.32,90,O,F,N
3,PA,Physician Assistant,30,30,30,53.64,251.26666667,F,F,N
1,MD,Other,17,17,17,134.5,169.38,F,M,N
2,Organization,Nurse Practitioner,254,62,225,19.86,25.330787402,O,F,N
2,Other,Other,239,37,239,37.3,45.70292887,O,F,N
2,PT,Physical Therapist in Private Practice,28,23,24,26.22,62,O,F,N
2,ARNP,Nurse Practitioner,53,53,53,26,26,O,F,N
3,DO,Family Practice,55,55,55,76.14,121.27654545,F,F,N
2,Organization,Family Practice,25,25,25,97.2948,300,O,F,N
2,Other,Other,68,18,18,27.14,37,O,F,N
0,Organization,Physical Therapist in Private Practice,150,18,147,23.998133333,51.3,O,M,N
3,FNP,Nurse Practitioner,148,105,148,42.6,82,F,F,N
3,FNP,Nurse Practitioner,323,213,323,65.76,141,F,F,N
3,FNP,Nurse Practitioner,32,31,32,169.44,435,F,F,N
0,DPT,Physical Therapist in Private Practice,752,36,399,31.484281915,36.584268617,O,M,N
2,PA,Physician Assistant,70,65,70,71.053571429,209.26,O,F,N
2,Other,Nurse Practitioner,580,194,580,83.85,220,O,F,N
2,DPT,Physical Therapist in Private Practice,1223,108,600,26.448618152,61.562551104,O,F,N
0,DPT,Physical Therapist in Private Practice,787,150,731,36.166709022,114.33,O,M,N
0,DPT,Physical Therapist in Private Practice,27,24,27,28.397037037,112.98,O,M,N
0,DPT,Physical Therapist in Private Practice,755,144,755,10.995205298,44.910119205,O,M,N
2,Other,Other,15,15,15,137.62,350,O,F,N
3,Other,Nurse Practitioner,222,77,222,58.38,85,F,F,N
3,Other,Nurse Practitioner,243,85,243,77.079753086,118,F,F,N
0,PA,Physician Assistant,18,17,18,88.85,183,O,M,N
2,Other,Nurse Practitioner,34,34,34,69.496764706,337.23529412,O,F,N
2,FNP,Nurse Practitioner,19,19,19,152.34,250,O,F,N
2,FNP,Nurse Practitioner,21,21,21,68.56,175,O,F,N
2,FNP,Nurse Practitioner,27,26,27,100.55,250,O,F,N
2,Other,Nurse Practitioner,15,14,15,10.997333333,19,O,F,Y
2,NP,Nurse Practitioner,11,11,11,133.04,313.04,O,F,N
2,NP,Nurse Practitioner,75,60,75,74.9,105,O,F,N
2,NP,Nurse Practitioner,19,15,19,110.87,170,O,F,N
0,PA,Physician Assistant,14,14,14,70.593571429,152,O,M,N
0,PA,Physician Assistant,17,16,17,91.38,165,O,M,N
0,PA,Physician Assistant,18,16,17,358.24333333,368.5,O,M,Y
2,DPT,Physical Therapist in Private Practice,303,56,299,24.267854785,55.78,O,F,N
2,Other,Nurse Practitioner,73,73,73,146.25,300,O,F,N
3,Other,Nurse Practitioner,15,15,15,12.13,25,F,F,N
3,Other,Nurse Practitioner,59,45,59,87.25,170,F,F,N
2,DO,Family Practice,24,12,12,15.09,24,O,F,N
2,DO,Family Practice,17,17,17,25,25,O,F,N
2,Organization,Nurse Practitioner,28,28,28,3.08,30,O,F,N
2,Organization,Nurse Practitioner,19,19,19,65.74,165,O,F,N
3,Other,Nurse Practitioner,19,19,19,52.606842105,772.84210526,F,F,N
0,Other,Nurse Practitioner,29,12,29,20.4,48,O,M,N
0,Other,Nurse Practitioner,14,14,14,87.4,184,O,M,N
0,OD,Optometry,33,32,33,119.33,156.03,O,M,N
0,OD,Optometry,16,16,16,26.16,75.92,O,M,N
0,Organization,Clinical Laboratory,15,14,15,52.86,103,O,O,N
0,Organization,Clinical Laboratory,113,37,37,67.487433628,92.398230088,O,O,N
0,Organization,Clinical Laboratory,342,89,90,47.04,162,F,O,N
0,Other,Other,1310,99,1310,40.03,81.778870229,O,M,N
0,DPT,Physical Therapist in Private Practice,540,27,312,25.930611111,50,O,M,N
0,DPT,Physical Therapist in Private Practice,204,20,154,30.641568627,53,O,M,N
2,ARNP,Nurse Practitioner,31,31,31,14.96,75,O,F,N
2,Organization,Physical Therapist in Private Practice,518,26,217,27.061505792,45,O,F,N
0,Organization,Clinical Laboratory,237,112,237,3,25,O,O,N
0,PA,Physician Assistant,16,16,16,88.7,308,O,M,N
0,PA,Physician Assistant,25,25,25,60.12,207,O,M,N
1,MD,Internal Medicine,71,66,71,144.52295775,273.89633803,F,M,N
3,PA,Physician Assistant,79,79,79,7.71,35,F,F,N
3,PA,Physician Assistant,61,61,61,169.26,1177,F,F,N
3,PA,Physician Assistant,13,13,13,202.35,1411,F,F,N
2,PA,Physician Assistant,43,36,43,44.783255814,75,O,F,N
2,PA,Physician Assistant,11,11,11,59.654545455,600,O,F,N
2,PA,Physician Assistant,16,16,16,81.831875,400,O,F,N
2,PA,Physician Assistant,29,28,29,7.9996551724,60,O,F,N
2,PA,Physician Assistant,11,11,11,4.35,40,O,F,N
2,PA,Physician Assistant,21,19,21,8.67,30,O,F,N
2,PA,Physician Assistant,99,85,96,18.1,51,O,F,N
2,PA,Physician Assistant,36,36,36,99.09,225,O,F,N
2,PA,Physician Assistant,198,187,198,67.19,199.5959596,O,F,N
2,Other,Nurse Practitioner,79,73,79,91.12,233.29113924,O,F,N
2,Other,Nurse Practitioner,26,26,26,98.43,129,O,F,N
2,Other,Nurse Practitioner,16,11,16,45.17,205,O,F,N
2,Other,Nurse Practitioner,35,35,35,28.62,97,O,F,N
2,Other,Nurse Practitioner,35,35,35,35.41,105,O,F,N
3,Other,Nurse Practitioner,13,13,13,171.66,359.53846154,F,F,N
1,PA,Other,11,11,11,84.770909091,957.27272727,F,M,N
1,MD,Internal Medicine,13,12,13,135.80153846,222,F,M,N
2,Other,Nurse Practitioner,64,58,64,246.8,581,O,F,N
2,Other,Nurse Practitioner,55,46,55,160.02,377,O,F,N
3,Other,Nurse Practitioner,16,12,16,139.82,225,F,F,N
3,Other,Nurse Practitioner,334,69,334,57.53,115,F,F,N
2,Other,Nurse Practitioner,14,13,14,88.9,161,O,F,N
0,MD,Other,17,12,16,94.942941176,671.17647059,O,M,N
0,MD,Other,47,28,47,243.32510638,1717.2765957,O,M,N
0,MD,Other,126,39,60,183.10857143,1432.0634921,O,M,N
3,FNP,Nurse Practitioner,162,124,162,42.12,85,F,F,N
2,PA,Physician Assistant,13,13,13,12.37,21,O,F,N
2,PA,Physician Assistant,13,13,13,144.21,482,O,F,N
2,NP,Nurse Practitioner,32,22,32,97.05,100,O,F,N
0,MD,Family Practice,17,12,17,40.61,142.47058824,O,M,N
0,MD,Family Practice,102,68,102,13.32,43.882352941,O,M,N
0,MD,Family Practice,99,75,99,4.1936363636,77.272727273,O,M,N
0,MD,Family Practice,23,23,23,102.89,205.53826087,O,M,N
0,DPM,Podiatry,18,17,18,103,103,O,M,N
1,MD,Family Practice,45,29,45,71.41,185.1,F,M,N
2,Other,Nurse Practitioner,21,21,21,49.03,54,O,F,Y
2,MD,Family Practice,61,32,61,8.87,18,O,F,N
2,MD,Family Practice,18,18,18,27.346666667,104.5,O,F,N
2,MD,Family Practice,11,11,11,19.03,36,O,F,Y
2,MD,Family Practice,118,118,118,81.378898305,147.41525424,O,F,N
2,MD,Family Practice,163,154,163,78.805705521,144,O,F,N
2,ARNP,Nurse Practitioner,20,15,20,46.98,112,O,F,N
3,MD,Emergency Medicine,23,22,23,65.450434783,426.08695652,F,F,N
2,MD,Ophthalmology,90,90,90,116.21,125,O,F,N
2,MD,Ophthalmology,19,16,19,68.71,75,O,F,N
0,DO,Family Practice,32,32,32,105.96,201.0625,O,M,N
3,MD,Family Practice,55,53,55,8.39,18.981818182,F,F,N
2,MD,Other,23,23,23,27.394782609,31.130434783,O,F,N
2,DO,Family Practice,13,13,13,111.78,145,O,F,N
2,MD,Internal Medicine,13,13,13,174.69461538,367,O,F,N
3,MD,Internal Medicine,25,25,25,219.46,496,F,F,N
3,MD,Internal Medicine,247,101,247,77.67,175,F,F,N
3,Organization,Emergency Medicine,55,54,55,117.852,1490.1272727,F,F,N
1,MD,Internal Medicine,46,25,46,102.88,145,F,M,N
0,MD,Internal Medicine,38,16,38,67.38,70,O,M,N
0,DPT,Physical Therapist in Private Practice,1217,110,1000,21.95441249,60,O,M,N
0,DPT,Physical Therapist in Private Practice,71,66,71,75.575774648,130,O,M,N
0,DPT,Physical Therapist in Private Practice,33,29,33,50.77,65,O,M,N
0,DPT,Physical Therapist in Private Practice,304,55,304,9.68,38,O,M,N
0,MD,Ophthalmology,65,46,65,108.98738462,364.67692308,O,M,N
0,MD,Ophthalmology,17,15,17,75.978823529,184.94117647,O,M,N
0,MD,Ophthalmology,20,20,20,59.9005,146.65,O,M,N
0,MD,Ophthalmology,217,169,217,39.213732719,102.23502304,O,M,N
0,MD,Ophthalmology,66,45,66,60.41030303,128.60606061,O,M,N
1,MD,Other,22,20,22,112.11,250,F,M,N
3,MD,Emergency Medicine,23,23,23,196.3,590,F,F,N
2,MD,Family Practice,14,14,14,25.86,78,O,F,N
0,DO,Family Practice,33,33,33,20.65,30.18,O,M,N
3,Organization,Nurse Practitioner,83,65,83,21.428795181,58.686987952,F,F,N
2,Organization,Nurse Practitioner,37,36,37,49.216486486,58.130810811,O,F,N
1,MD,Neurology,28,23,28,102.30035714,229.42857143,F,M,N
0,MD,Orthopedic Surgery,34,23,33,31.347941176,119,O,M,N
0,MD,Internal Medicine,39,31,39,115.24,192,O,M,N
0,MD,Internal Medicine,27,27,27,27.66,40,O,M,N
2,FNP,Nurse Practitioner,29,28,29,107.08,164,O,F,N
3,FNP,Nurse Practitioner,74,74,74,116.36,345.7027027,F,F,N
3,NP,Nurse Practitioner,30,23,30,85.195,100,F,F,N
3,NP,Nurse Practitioner,20,19,20,85.12,120,F,F,N
1,Organization,Emergency Medicine,12,12,12,135.095,1112.1666667,F,M,N
3,MD,Family Practice,139,137,139,102.43,165,F,F,N
1,MD,Internal Medicine,293,153,293,75.11,163,F,M,N
1,MD,Internal Medicine,96,94,96,75.66,171,F,M,N
0,PT,Physical Therapist in Private Practice,26,11,26,15.16,69.270384615,O,M,N
0,PT,Physical Therapist in Private Practice,106,21,92,20.83,58.76,O,M,N
0,MD,Internal Medicine,103,103,103,26.52,33,O,M,N
0,MD,Internal Medicine,47,47,47,18.82,75.28,O,M,N
0,MD,Internal Medicine,18,18,18,31,31,O,M,N
0,MD,Family Practice,13,13,13,79.81,160,O,M,N
0,MD,Family Practice,22,22,22,49.03,57,O,M,Y
0,MD,Family Practice,11,11,11,52.31,53,O,M,N
0,OD,Optometry,111,77,111,83.05,158,O,M,N
2,PA,Physician Assistant,47,47,47,24.41,30,O,F,N
2,PA,Physician Assistant,29,29,29,14.5,20,O,F,N
2,PA,Physician Assistant,23,23,23,14.5,25,O,F,N
0,Organization,Clinical Laboratory,156,139,156,204.34,333,O,O,N
2,PA,Physician Assistant,15,13,15,40.018,93.9,O,F,N
3,PA,Physician Assistant,13,13,13,18.45,57.68,F,F,N
3,NP,Nurse Practitioner,39,13,39,38.36,438,F,F,N
1,MD,Internal Medicine,20,20,20,180.68,258,F,M,N
1,MD,Internal Medicine,90,90,90,187.45722222,250,F,M,N
1,MD,Internal Medicine,582,307,582,70.26,90.412371134,F,M,N
2,Other,Other,108,108,108,16.59,50,O,F,N
2,Other,Nurse Practitioner,20,15,20,87.47,284,O,F,N
0,MD,Internal Medicine,18,17,18,224.33,583,O,M,N
2,Organization,Family Practice,11,11,11,11.07,55.76,O,F,N
2,Organization,Family Practice,97,59,97,104.54,286,O,F,N
0,Organization,Podiatry,53,53,53,120.29830189,240.52830189,O,M,N
1,MD,Diagnostic Radiology,16,16,16,53.23125,134.6875,F,M,N
1,MD,Diagnostic Radiology,11,11,11,8.8072727273,24.272727273,F,M,N
1,MD,Diagnostic Radiology,21,21,21,9.89,20.476190476,F,M,N
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),11,11,11,109.04727273,864.72727273,F,F,N
1,MD,Pulmonary Disease,97,33,97,76.98,140,F,M,N
2,Other,Nurse Practitioner,42,39,42,91.37,202,O,F,N
2,NP,Nurse Practitioner,215,135,215,22.98,104,O,F,N
0,Organization,Physical Therapist in Private Practice,50,15,48,22.49,62,O,M,N
2,CRNA,Certified Registered Nurse Anesthetist (CRNA),49,48,49,122.33387755,480.85714286,O,F,N
2,PT,Physical Therapist in Private Practice,62,13,53,33.805967742,36.793870968,O,F,N
3,Organization,Physician Assistant,26,26,26,148.05,1342.7884615,F,F,N
2,NP,Nurse Practitioner,15,15,15,12.631333333,40.866666667,O,F,N
2,NP,Nurse Practitioner,62,60,62,15.7,41.5,O,F,N
2,OD,Optometry,24,22,23,31.6975,118.75,O,F,N
2,OD,Optometry,13,11,13,100,100,O,F,N
2,Organization,Physician Assistant,121,95,121,60.78,103,O,F,N
2,Organization,Nurse Practitioner,15,15,15,43.829333333,43.998666667,O,F,Y
2,Organization,Nurse Practitioner,18,18,18,23.888888889,25.444444444,O,F,N
0,PA,Physician Assistant,129,113,129,88.67,341.58,O,M,N
0,PA,Physician Assistant,206,169,206,87.41,273.2,O,M,N
2,DPT,Physical Therapist in Private Practice,39,12,34,28.866153846,76.37,O,F,N
0,Organization,Physician Assistant,111,101,111,95.84,216.12,O,M,N
0,PT,Physical Therapist in Private Practice,405,113,391,31.163753086,55,O,M,N
0,Organization,Nurse Practitioner,18,17,18,13.91,60,O,M,N
0,Organization,Nurse Practitioner,34,23,34,119.9,180,O,M,N
0,Other,Physical Therapist in Private Practice,298,30,234,26.582718121,70,O,M,N
0,PT,Physical Therapist in Private Practice,382,37,265,26.461832461,125.77942408,O,M,N
1,Organization,Nurse Practitioner,21,21,21,126.17,375,F,M,N
0,DPT,Physical Therapist in Private Practice,54,50,54,90.702592593,91.917222222,O,M,N
0,DPT,Physical Therapist in Private Practice,1578,124,1242,36.306089987,41.056806084,O,M,N
2,Other,Nurse Practitioner,301,202,301,3,20,O,F,N
2,Other,Nurse Practitioner,100,15,100,5.39,15,O,F,N
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),12,12,12,217.0025,1182.5,F,F,N
2,Other,Nurse Practitioner,31,31,31,65.16,114.05,O,F,N
2,OD,Optometry,12,11,12,56.43,120,O,F,N
2,Other,Nurse Practitioner,15,15,15,21.9,91,O,F,N
2,OD,Optometry,15,15,15,140,140,O,F,N
2,PA,Physician Assistant,27,27,27,85.91,236.62962963,O,F,N
0,Organization,Physical Therapist in Private Practice,236,31,210,23.995381356,60,O,M,N
0,FNP,Nurse Practitioner,57,46,57,22.13,60,O,M,N
0,FNP,Nurse Practitioner,12,11,12,40.61,69.75,O,M,N
0,FNP,Nurse Practitioner,212,130,212,10.66,18.490566038,O,M,N
0,FNP,Nurse Practitioner,13,11,11,15.71,25.692307692,O,M,N
0,FNP,Nurse Practitioner,89,64,85,20.17,54.685393258,O,M,N
2,PA,Physician Assistant,25,23,25,59.962,317.64,O,F,N
2,Other,Other,64,64,64,114.6,200,O,F,N
2,Other,Nurse Practitioner,12,12,12,136.26416667,240.79,O,F,N
3,Other,Nurse Practitioner,30,28,30,119.24,291.5,F,F,N
3,Other,Nurse Practitioner,28,27,28,92.91,223.85714286,F,F,N
2,Other,Other,120,78,120,58.20675,138,O,F,N
2,Other,Other,465,162,465,77.405870968,182,O,F,N
2,Other,Other,68,60,68,114.54058824,270,O,F,N
3,FNP,Nurse Practitioner,120,69,120,61.6,182,F,F,N
2,Other,Nurse Practitioner,42,19,37,20.74,61.415238095,O,F,N
3,Organization,Nurse Practitioner,50,50,50,51.79,472.5,F,F,N
3,Organization,Nurse Practitioner,90,89,90,98.29,896.4,F,F,N
1,Organization,Optometry,21,21,21,50.62,84.15,F,M,N
0,Other,Nurse Practitioner,15,15,15,142.07,265,O,M,N
3,NP,Nurse Practitioner,310,101,310,59.740322581,145.11612903,F,F,N
2,FNP,Nurse Practitioner,61,46,61,87.101967213,200,O,F,N
3,Organization,Physician Assistant,12,11,12,51.79,472.5,F,F,N
3,Organization,Nurse Practitioner,19,18,19,63.47,142,F,F,N
2,Other,Nurse Practitioner,17,17,17,114.5,302,O,F,N
2,Other,Nurse Practitioner,110,60,110,118.47245455,308,O,F,N
2,PA,Physician Assistant,246,180,246,42.585,106.73691057,O,F,N
0,Organization,Other,13,12,13,166.46,550,F,O,N
2,PT,Physical Therapist in Private Practice,432,71,361,25.335138889,46,O,F,N
2,PT,Physical Therapist in Private Practice,33,33,33,92.653333333,144,O,F,N
2,Other,Nurse Practitioner,49,47,49,10.66,21,O,F,N
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),13,13,13,75.667692308,744.45,F,F,N
1,CRNA,Certified Registered Nurse Anesthetist (CRNA),11,11,11,180.79090909,783.54545455,F,M,N
2,PT,Physical Therapist in Private Practice,177,61,168,24.607853107,52.42,O,F,N
2,MS,Other,194,29,194,85.067268041,214.28,O,F,N
1,PA,Physician Assistant,12,11,12,196.41,885.16666667,F,M,N
2,FNP,Nurse Practitioner,55,37,55,113.54,245,O,F,N
2,FNP,Nurse Practitioner,17,17,17,68.54,130,O,F,N
2,Other,Other,151,39,151,98.59,195.51,O,F,N
2,Other,Other,116,13,116,100.36543103,130,O,F,N
3,Organization,Nurse Practitioner,21,21,21,61.29,170.85714286,F,F,N
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),40,36,40,166.878,1273.75,F,F,N
2,Other,Nurse Practitioner,27,26,27,19.03,54,O,F,Y
2,Organization,Internal Medicine,20,18,20,160.61,282,O,F,N
3,Other,Nurse Practitioner,15,15,15,59.59,138,F,F,N
1,Other,Nurse Practitioner,389,154,389,56.33,119,F,M,N
0,Organization,Physical Therapist in Private Practice,52,13,52,12.47,35.12,O,M,N
2,PT,Physical Therapist in Private Practice,15,15,15,87.688,261.93,O,F,N
2,PT,Physical Therapist in Private Practice,38,27,35,30.806578947,114,O,F,N
2,Organization,Physical Therapist in Private Practice,857,159,857,14.85008168,35,O,F,N
2,Other,Nurse Practitioner,23,23,23,138.21,200,O,F,N
3,PA,Physician Assistant,115,107,115,43.13,50.982608696,F,F,N
3,Other,Nurse Practitioner,110,61,110,59.18,152,F,F,N
3,Other,Nurse Practitioner,18,14,18,85.43,218,F,F,N
3,Organization,Certified Registered Nurse Anesthetist (CRNA),19,16,19,75.017894737,636.29210526,F,F,N
2,Organization,Physical Therapist in Private Practice,284,38,189,29.551267606,81,O,F,N
2,PA,Physician Assistant,13,13,13,36.34,110.69230769,O,F,N
2,PA,Physician Assistant,65,58,65,42.52,126,O,F,N
0,DPT,Physical Therapist in Private Practice,425,24,259,27.224729412,64.98,O,M,N
0,Organization,Orthopedic Surgery,18,14,18,24.585,50.666666667,O,M,N
0,Organization,Orthopedic Surgery,70,53,57,5.8512857143,14,O,M,Y
2,Other,Other,11,11,11,13.32,37,O,F,N
2,Other,Nurse Practitioner,72,60,70,20.16,47,O,F,N
1,Other,Nurse Practitioner,33,32,33,85.3,149,F,M,N
3,NP,Nurse Practitioner,33,15,33,65.77,162,F,F,N
2,Organization,Nurse Practitioner,14,13,14,20.64,40,O,F,N
2,Organization,Nurse Practitioner,117,89,117,60.32,100,O,F,N
2,Organization,Nurse Practitioner,19,19,19,24.28,40,O,F,N
2,Organization,Nurse Practitioner,32,32,32,95.7440625,158,O,F,N
2,Organization,Nurse Practitioner,25,25,25,14.77,20,O,F,N
2,Organization,Physical Therapist in Private Practice,40,40,40,87.396,140,O,F,N
2,Organization,Physical Therapist in Private Practice,19,15,18,31.257368421,41,O,F,N
2,Other,Nurse Practitioner,21,18,21,10.954285714,25,O,F,N
0,PT,Physical Therapist in Private Practice,100,16,95,26.36,75,O,M,N
3,Organization,Physician Assistant,35,35,35,31.178,350,F,F,N
2,Organization,Family Practice,12,12,12,11.82,18,O,F,N
2,Organization,Family Practice,14,14,14,176.87,219,O,F,N
0,MD,Internal Medicine,13,13,13,104.54,356,O,M,N
3,MS,Nurse Practitioner,192,95,192,94.64,211.625,F,F,N
2,FNP,Nurse Practitioner,310,197,310,95.79,188,O,F,N
3,FNP,Nurse Practitioner,40,30,40,91.74,216.2,F,F,N
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),14,14,14,316.32357143,1234.5464286,F,F,N
2,Organization,Physician Assistant,19,19,19,19.03,35,O,F,Y
2,Organization,Physician Assistant,240,175,240,89.54,177.13333333,O,F,N
3,Other,Nurse Practitioner,36,33,36,57.71,98,F,F,N
0,DPT,Physical Therapist in Private Practice,694,171,630,22.539221902,46,O,M,N
1,PA,Physician Assistant,22,22,22,113.68,271.72363636,F,M,N
2,PA,Physician Assistant,282,170,282,93.58,157,O,F,N
2,PA,Physician Assistant,22,22,22,101.27,116.57363636,O,F,N
0,FNP,Nurse Practitioner,44,44,44,178.215,275,O,M,N
2,DO,Internal Medicine,44,44,44,12.953181818,35,O,F,N
3,DO,Internal Medicine,47,18,22,76.08,120,F,F,N
2,NP,Nurse Practitioner,32,22,32,13.32,30,O,F,N
0,PT,Physical Therapist in Private Practice,187,26,120,27.877165775,43.989304813,O,M,N
0,PT,Physical Therapist in Private Practice,1145,64,697,22.19841048,39,O,M,N
2,FNP,Nurse Practitioner,53,47,53,22.13,74,O,F,N
2,FNP,Nurse Practitioner,30,30,30,13.46,53,O,F,N
2,FNP,Nurse Practitioner,16,16,16,86.35,255,O,F,N
2,PA,Physician Assistant,39,39,39,59.08,96,O,F,N
2,OD,Optometry,31,14,16,15.82,30,O,F,N
2,Organization,Nurse Practitioner,41,24,41,68.56,100,O,F,N
2,PA,Physician Assistant,16,16,16,135.28,390,O,F,N
2,PA,Physician Assistant,249,85,105,6.9412048193,9,O,F,Y
2,NP,Nurse Practitioner,11,11,11,3.08,16,O,F,N
3,NP,Nurse Practitioner,36,33,33,7,67,F,F,N
2,NP,Nurse Practitioner,56,46,50,19.62,40,O,F,N
0,DPM,Podiatry,51,23,51,81.683137255,150,O,M,N
0,DPM,Podiatry,39,34,39,38.28974359,72,O,M,N
0,DPM,Podiatry,60,60,60,112.87,125,O,M,N
2,Other,Nurse Practitioner,135,82,135,62.08,105,O,F,N
2,Other,Other,255,251,255,38.782196078,42.197215686,O,F,N
3,Other,Other,23,23,23,94.19,133.98,F,F,N
2,Other,Other,33,32,33,97.2,133.98,O,F,N
3,NP,Nurse Practitioner,144,139,144,167.4,268,F,F,N
3,NP,Nurse Practitioner,23,18,23,59.61,96,F,F,N
3,NP,Nurse Practitioner,101,77,101,86.2,138,F,F,N
2,Organization,Physician Assistant,40,40,40,94.1,265,O,F,N
0,Other,Nurse Practitioner,33,27,33,91.38,310.44,O,M,N
3,Organization,Certified Registered Nurse Anesthetist (CRNA),51,51,51,79.705294118,544.90196078,F,F,N
0,Organization,Mass Immunizer Roster Biller,25,25,25,22.6752,23.146,O,O,N
3,PA,Physician Assistant,109,67,109,59.59,193.05504587,F,F,N
0,Organization,Other,81,76,77,148.4817284,1320,O,O,N
0,Organization,Other,15,13,15,238.2,1790,O,O,N
0,DO,Family Practice,84,37,84,107.2,406.02,O,M,N
2,PT,Physical Therapist in Private Practice,38,18,29,32.286842105,112,O,F,N
2,NP,Nurse Practitioner,56,44,54,20.3,36,O,F,N
3,MS,Nurse Practitioner,182,174,182,169.1,403.96153846,F,F,N
2,Other,Nurse Practitioner,19,12,19,14.96,49.473684211,O,F,N
1,PA,Physician Assistant,32,30,32,178.98,1250.3390625,F,M,N
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),37,37,37,164.30594595,735.51351351,F,F,N
3,Other,Nurse Practitioner,27,26,27,53.09,674.44444444,F,F,N
2,Other,Nurse Practitioner,868,234,868,83.26,200,O,F,N
3,MS,Nurse Practitioner,54,36,54,85.67,737.975,F,F,N
2,Other,Nurse Practitioner,32,30,32,3.5,20.5,O,F,N
1,MD,Other,34,19,34,71.9,233,F,M,N
2,PA,Physician Assistant,165,126,144,7.9490909091,113,O,F,N
2,Organization,Physical Therapist in Private Practice,956,43,386,26.495104603,40,O,F,N
2,Organization,Physical Therapist in Private Practice,313,37,313,13.960159744,20,O,F,N
2,Organization,Physical Therapist in Private Practice,16,16,16,52.8925,59.375,O,F,N
3,PA,Physician Assistant,22,22,22,52.62,538,F,F,N
2,Organization,Nurse Practitioner,14,14,14,38.538571429,57.571428571,O,F,N
2,Other,Other,66,33,66,70.51,73.46,O,F,N
3,FNP,Nurse Practitioner,36,15,36,19.73,71,F,F,N
0,DPT,Physical Therapist in Private Practice,246,28,125,27.161300813,45,O,M,N
2,Organization,Other,90,12,90,91.438222222,178.25,O,F,N
2,NP,Nurse Practitioner,16,16,16,20,20,O,F,N
2,NP,Nurse Practitioner,23,23,23,14.81,20,O,F,N
2,PT,Physical Therapist in Private Practice,96,14,88,38.736666667,39.69,O,F,N
2,PT,Physical Therapist in Private Practice,73,21,31,28.203424658,73.506849315,O,F,N
3,NP,Nurse Practitioner,24,24,24,98.29,463,F,F,N
3,NP,Nurse Practitioner,37,36,37,145.04,683,F,F,N
2,NP,Nurse Practitioner,14,14,14,44,44,O,F,Y
2,Other,Other,74,24,72,28.961081081,50.675675676,O,F,N
3,ARNP,Nurse Practitioner,73,29,73,61.79,107.31506849,F,F,N
2,ARNP,Nurse Practitioner,12,12,12,10,10,O,F,N
3,ARNP,Nurse Practitioner,31,31,31,152.55,250,F,F,N
2,ARNP,Nurse Practitioner,139,139,139,152.55,250.32374101,O,F,N
2,ARNP,Nurse Practitioner,132,127,132,41.828484848,144,O,F,N
2,Other,Nurse Practitioner,105,97,105,60.124666667,126,O,F,N
0,PA,Physician Assistant,52,51,52,37.99,230,O,M,N
0,PA,Physician Assistant,55,48,55,58.57,105,O,M,N
2,MS,Physical Therapist in Private Practice,222,37,220,25.609864865,71.28,O,F,N
0,PT,Physical Therapist in Private Practice,1409,146,806,28.483924769,59,O,M,N
0,PT,Physical Therapist in Private Practice,17,17,17,86.01,200,O,M,N
0,PT,Physical Therapist in Private Practice,13,12,13,58.08,78,O,M,N
0,PT,Physical Therapist in Private Practice,25,19,21,26.5144,59,O,M,N
2,PA,Physician Assistant,35,35,35,99.64,330,O,F,N
0,DPT,Physical Therapist in Private Practice,32,27,31,29.179375,40,O,M,N
0,OD,Optometry,44,36,44,39.277272727,125,O,M,N
0,PT,Physical Therapist in Private Practice,641,53,334,24.348673947,47,O,M,N
0,OD,Optometry,16,16,16,37.3325,95,O,M,N
2,Other,Nurse Practitioner,13,13,13,11.67,11.67,O,F,N
2,Organization,Physical Therapist in Private Practice,30,13,30,26.12,70,O,F,N
2,NP,Nurse Practitioner,15,15,15,44,44,O,F,Y
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),49,48,49,154.50428571,740.36734694,F,F,N
2,PT,Physical Therapist in Private Practice,1056,93,764,25.597291667,34.793248106,O,F,N
2,MD,Family Practice,44,31,44,119.23,477.51727273,O,F,N
2,Other,Nurse Practitioner,15,14,15,134.7,296,O,F,N
3,Organization,Nurse Practitioner,116,61,116,80.04,137.62931034,F,F,N
2,Organization,Nurse Practitioner,21,20,21,59.28,91.857142857,O,F,N
2,NP,Nurse Practitioner,597,152,597,75.93,235.98994975,O,F,N
3,PA,Physician Assistant,11,11,11,53.45,513.63636364,F,F,N
3,CRNA,Certified Registered Nurse Anesthetist (CRNA),11,11,11,78.812727273,565.90909091,F,F,N
0,DPT,Physical Therapist in Private Practice,845,97,665,25.65652071,50,O,M,N
0,DPT,Physical Therapist in Private Practice,1338,106,702,28.08422272,50,O,M,N
1,Other,Nurse Practitioner,49,44,49,13.22,31,F,M,N
2,Organization,Nurse Practitioner,14,14,14,13.98,47,O,F,N
0,Organization,Nurse Practitioner,128,103,128,62.18375,125,O,M,N
2,Other,Other,13,13,13,102.94230769,117.69230769,O,F,N
